,country,grocery_pharmacy,parks,residential,retail_recreation,transit_stations,workplaces,total_cases,fatalities,recovered,active_cases,passed_days,population,cases_per_million
0,Argentina,5.09,-6.2410000000000005,-1.33,0.2,8.202,16.192,1,0,0,1,0.0,44490000.0,0.02247696111485727
1,Argentina,2.898,-0.579,-1.916,-0.983,7.567,17.953,1,0,0,1,1.0,44490000.0,0.02247696111485727
2,Argentina,4.236000000000001,-8.884,-1.4909999999999999,0.735,10.191,17.557000000000002,1,0,0,1,2.0,44490000.0,0.02247696111485727
3,Argentina,7.63,-6.797000000000001,-1.996,6.376,12.04,18.163,2,0,0,2,3.0,44490000.0,0.04495392222971454
4,Argentina,7.222,-9.604,1.219,5.391,8.476,2.7560000000000002,8,0,0,8,4.0,44490000.0,0.17981568891885816
5,Argentina,4.425,-12.354000000000001,2.186,3.013,2.63,-2.325,12,1,0,11,5.0,44490000.0,0.24724657226342997
6,Argentina,5.438,-9.125,-0.813,1.3730000000000002,13.177999999999999,14.687999999999999,12,1,0,11,6.0,44490000.0,0.24724657226342997
7,Argentina,8.046,-8.646,-2.092,2.687,13.620999999999999,18.222,17,1,0,16,7.0,44490000.0,0.3596313778377163
8,Argentina,-6.831,-24.127,0.207,-15.515,-6.097,15.189,19,1,0,18,8.0,44490000.0,0.4045853000674309
9,Argentina,8.224,-15.55,-1.41,-4.239,10.392000000000001,18.187,19,1,0,18,9.0,44490000.0,0.4045853000674309
10,Argentina,10.128,-17.125,-1.125,-4.731,7.287999999999999,18.21,31,2,0,29,10.0,44490000.0,0.6518318723308608
11,Argentina,4.578,-40.463,7.188,-18.762,-19.48,-3.8510000000000004,34,2,1,31,11.0,44490000.0,0.6967857945605754
12,Argentina,16.951,-43.747,8.781,-29.345,-17.249000000000002,-9.812000000000001,45,2,1,42,12.0,44490000.0,0.9440323668240054
13,Argentina,7.879,-39.431,6.346,-26.9,-16.545,0.894,56,2,1,53,13.0,44490000.0,1.1912789390874354
14,Argentina,-11.395999999999999,-53.747,10.637,-40.83,-31.844,-11.995,68,2,3,63,14.0,44490000.0,1.416048550236008
15,Argentina,-10.624,-48.792,12.005,-42.791000000000004,-34.599000000000004,-18.855,79,2,3,74,15.0,44490000.0,1.663295122499438
16,Argentina,4.992,-54.943000000000005,12.607000000000001,-42.199,-35.079,-24.291,97,3,3,91,16.0,44490000.0,2.0454034614520116
17,Argentina,-40.436,-80.027,29.366999999999997,-78.483,-72.116,-60.537,128,3,3,122,17.0,44490000.0,2.742189256012587
18,Argentina,-49.071999999999996,-85.37799999999999,28.034000000000002,-82.64200000000001,-75.40899999999999,-57.28,158,4,3,151,18.0,44490000.0,3.394021128343448
19,Argentina,-61.218,-89.944,27.362,-87.281,-81.01899999999999,-57.88,266,4,3,259,19.0,44490000.0,5.821532928748033
20,Argentina,-63.753,-88.34299999999999,31.67,-87.824,-84.97399999999999,-79.097,301,4,3,294,20.0,44490000.0,6.608226567768037
